username,date,cash,shares_value,penalty,total
Bull Theory,3/27/2021 12:05,100000,0,0,100000
Bull Theory,3/27/2021 12:10,100000,0,0,100000
Bull Theory,3/27/2021 12:15,97500,0,2500,97500
Bull Theory,3/27/2021 12:20,97500,0,2500,97500
Bull Theory,3/27/2021 12:25,97500,0,2500,97500
Bull Theory,3/27/2021 12:30,95000,0,5000,95000
Bull Theory,3/27/2021 12:35,95000,0,5000,95000
Bull Theory,3/27/2021 12:40,95000,0,5000,95000
Bull Theory,3/27/2021 12:45,8408.197466,82412.7788,9294.256134,90820.97627
Bull Theory,3/27/2021 12:50,8408.197466,82565.6332,9294.256134,90973.83067
Bull Theory,3/27/2021 12:55,89070.75207,0,11294.25613,89070.75207
Bull Theory,3/27/2021 13:00,87607.69108,0,12941.56692,87607.69108
Bull Theory,3/27/2021 13:05,87644.30878,0,12941.56692,87644.30878
Bull Theory,3/27/2021 13:10,87644.30878,0,12941.56692,87644.30878
Bull Theory,3/27/2021 13:15,85798.18588,0,14822.38182,85798.18588
Bull Theory,3/27/2021 13:20,69805.34088,0,30822.38182,69805.34088
Bull Theory,3/27/2021 13:25,69805.7609,0,30822.38182,69805.7609
Bull Theory,3/27/2021 13:30,65523.67011,0,35104.22879,65523.67011
Bull Theory,3/27/2021 13:35,63523.03397,0,37104.22879,63523.03397
Bull Theory,3/27/2021 13:40,61755.47417,1748.9235,37104.22879,63504.39767
Bull Theory,3/27/2021 13:45,5432.075502,56080,39018.93096,61512.0755
Bull Theory,3/27/2021 13:50,59789.7955,1708.82,39018.93096,61498.6155
Bull Theory,3/27/2021 13:55,5585.215502,55943.63,39018.93096,61528.8455
Bull Theory,3/27/2021 14:00,58315.03513,1710.68,40504.58134,60025.71513
Bull Theory,3/27/2021 14:05,4017.785127,55989.39,40504.58134,60007.17513
Bull Theory,3/27/2021 14:10,58288.69513,1708.01,40504.58134,59996.70513
Bull Theory,3/27/2021 14:15,58050.97913,0,42419.21734,58050.97913
Bull Theory,3/27/2021 14:20,2199.889127,55944.78,42419.21734,58144.66913
Bull Theory,3/27/2021 14:25,58159.86913,0,42419.21734,58159.86913
Bull Theory,3/27/2021 14:30,54497.8003,1703.35,44343.39616,56201.1503
Bull Theory,3/27/2021 14:35,56250.2603,0,44343.39616,56250.2603
Bull Theory,3/27/2021 14:40,450.650302,55706.76,44343.39616,56157.4103
Bull Theory,3/27/2021 14:45,54028.92345,0,46273.31301,54028.92345
Bull Theory,3/27/2021 14:50,54031.40345,0,46273.31301,54031.40345
Bull Theory,3/27/2021 14:55,54031.40345,0,46273.31301,54031.40345
Bull Theory,3/27/2021 15:00,51538.85345,0,48765.86301,51538.85345
Bull Theory,3/27/2021 15:05,51538.85345,0,48765.86301,51538.85345
Bull Theory,3/27/2021 15:10,51538.85345,0,48765.86301,51538.85345
Bull Theory,3/27/2021 15:15,49038.85345,0,51265.86301,49038.85345
Bull Theory,3/27/2021 15:20,49038.85345,0,51265.86301,49038.85345
Bull Theory,3/27/2021 15:25,49038.85345,0,51265.86301,49038.85345
Bull Theory,3/27/2021 15:30,45620.20785,0,54657.99612,45620.20785
Bull Theory,3/27/2021 15:35,3873.460346,41845.41364,54657.99612,45718.87398
Bull Theory,3/27/2021 15:40,45636.79035,0,54657.99612,45636.79035
Bull Theory,3/27/2021 15:45,44378.16822,0,55969.44074,44378.16822
Bull Theory,3/27/2021 15:50,43082.24322,1278.5625,55969.44074,44360.80572
Bull Theory,3/27/2021 15:55,44391.01572,0,55969.44074,44391.01572
Bull Theory,3/27/2021 16:00,43555.1134,0,56856.00557,43555.1134
Bull Theory,3/27/2021 16:05,1800.670896,41823.435,56856.00557,43624.1059
Bull Theory,3/27/2021 16:10,1785.573396,41832.645,56856.00557,43618.2184
Bull Theory,3/27/2021 16:15,42675.6097,0,57843.03529,42675.6097
Bull Theory,3/27/2021 16:20,42657.6247,0,57843.03529,42657.6247
Bull Theory,3/27/2021 16:25,41452.5172,1280.4825,57843.03529,42732.9997
Bull Theory,3/27/2021 16:30,40524.43534,1279.2225,58726.54465,41803.65784
Bull Theory,3/27/2021 16:35,31803.71034,0,68726.54465,31803.71034
Bull Theory,3/27/2021 16:40,21807.43784,0,78726.54465,21807.43784
